wtdeer,state,urban,race,retire,employ,educ,married,income,gender,age,huntexp,agehunt,trips,bagdeer,numbag,bagbuck,avgcost,totcost,a,yes
0.141989727,35,2,1,0,1,26,1,40000,1,24,18,6,1,0,0,0,40,40,491,2
0.767521023,37,3,1,3,0,12,1,15000,1,24,15,9,80,1,1,0,7,560,202,1
0.818598424,37,2,1,0,1,24,1,40000,1,24,18,6,3,1,1,1,300,900,953,2
0.239063734,51,2,1,0,1,12,0,15000,1,24,12,12,2,1,2,1,10,20,27,1
0.239063734,51,2,1,0,1,24,0,22500,1,24,16,8,30,1,2,1,15,450,491,1
0.704496127,45,2,1,0,1,26,1,22500,1,24,11,13,2,0,0,0,15,30,45,1
0.239063734,51,2,1,0,1,12,1,15000,1,24,11,13,5,1,1,1,20,100,289,1
0.468787069,17,1,1,0,1,23,0,5000,1,24,18,6,10,1,1,0,10,100,491,1
0.410213467,28,3,1,0,1,22,1,40000,1,24,10,14,8,1,2,1,50,400,491,1
0.255540518,51,2,1,0,1,25,0,15000,1,24,17,7,1,1,1,1,200,200,289,1
0.265854098,27,2,1,4,0,9,1,15000,1,24,9,15,3,1,1,0,20,60,202,2
0.236783978,30,2,1,0,1,22,0,22500,1,25,9,16,6,1,2,0,300,1800,491,1
0.238924364,30,2,1,0,1,12,1,40000,1,25,15,10,7,1,1,1,10,70,953,1
2.332547781,33,1,1,0,1,26,0,22500,1,25,13,12,4,1,1,1,20,80,491,1
0.751915274,7,2,1,0,1,12,1,40000,1,25,4,21,20,0,0,0,5,100,139,1
